City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,2.79,87,100,9.2,CL,1696645362
1,bilibino,68.0546,166.4372,-8.36,90,96,0.76,RU,1696645459
2,tindouf,27.6711,-8.1474,27.25,19,90,6.17,DZ,1696645460
3,puerto ayora,-0.7393,-90.3518,23.64,94,81,2.24,EC,1696645460
4,waitangi,-43.9535,-176.5597,13.23,81,33,2.68,NZ,1696645460
5,tofol,5.3248,163.0078,30.88,70,75,4.63,FM,1696645460
6,tura,25.5198,90.2201,22.58,99,99,1.08,IN,1696645460
7,albertina,-22.2008,-46.6158,20.94,85,79,2.67,BR,1696645460
8,edinburgh of the seven seas,-37.0676,-12.3116,12.09,68,88,3.85,SH,1696645460
9,qaqortoq,60.7167,-46.0333,0.89,96,100,2.47,GL,1696645461
10,whiteville,34.3388,-78.7031,21.16,95,0,0.0,US,1696645461
11,chacabuco,-34.6417,-60.4739,12.37,48,36,3.1,AR,1696645369
12,thompson,55.7435,-97.8558,5.09,93,75,3.6,CA,1696645461
13,minas de marcona,-15.2119,-75.1103,13.56,89,91,6.25,PE,1696645461
14,mukalla,14.5425,49.1242,29.21,48,6,1.45,YE,1696645462
15,myeik,12.4333,98.6,24.68,95,100,1.05,MM,1696645462
16,alesund,62.4723,6.1549,8.2,78,75,5.66,NO,1696645302
17,kilinochchi,9.3961,80.3982,27.3,80,42,5.07,LK,1696645462
18,yangjiang,21.85,111.9667,27.21,66,100,4.08,CN,1696645462
19,lihue,21.9789,-159.3672,30.58,72,100,3.09,US,1696645462
20,pailon,-17.65,-62.75,30.5,32,10,6.92,BO,1696645462
21,port-aux-francais,-49.35,70.2167,1.29,61,45,12.99,TF,1696645364
22,isafjordur,66.0755,-23.124,-0.42,76,4,2.78,IS,1696645463
23,guozhen,34.3659,107.359,16.05,74,39,1.05,CN,1696645463
24,margaret river,-33.95,115.0667,24.1,38,6,3.44,AU,1696645463
25,bredasdorp,-34.5322,20.0403,13.23,94,100,8.97,ZA,1696645463
26,wailua homesteads,22.0669,-159.378,30.24,77,100,3.09,US,1696645463
